what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319439181631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319439181851
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319439182073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319439182275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1319439182593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1319439189119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439207719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439208591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439210537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439217812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439485386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439486248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439487942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439498135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439505694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439507268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439508316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439631734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439663874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439664605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439666458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439668323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439733534
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439734445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439736198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439736968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439805689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439806609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439808671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439809456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439839420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439840341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439842037
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439842770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439854593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439855645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439857233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439858030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439885158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439886137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439887334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439888232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439914845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439915667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319439917467
