"output.ID" "output.chrom" "output.loc.start" "output.loc.end" "output.num.mark" "output.seg.mean"
"1" "testSample" "chr1" 10000 11030000 1079 -0.5431
"2" "testSample" "chr1" 11040000 11130000 7 0.5875
"3" "testSample" "chr1" 11140000 20130000 697 -0.4264
"4" "testSample" "chr1" 20140000 20610000 41 0.1687
"5" "testSample" "chr1" 20620000 21510000 89 -0.5231
"6" "testSample" "chr1" 21520000 21570000 6 0.5419
"7" "testSample" "chr1" 21580000 21790000 21 -0.5365
"8" "testSample" "chr1" 21800000 21840000 4 0.0502
"9" "testSample" "chr1" 21850000 21980000 14 -0.4953
"10" "testSample" "chr1" 21990000 22040000 6 0.1997
"11" "testSample" "chr1" 22050000 22410000 33 -0.4161
"12" "testSample" "chr1" 22420000 23020000 60 -0.6503
"13" "testSample" "chr10" 0 5970000 575 -0.5192
"14" "testSample" "chr10" 5980000 6170000 15 0.3434
"15" "testSample" "chr10" 6180000 7090000 87 -0.5096
"16" "testSample" "chr10" 7100000 7710000 56 -0.3244
"17" "testSample" "chr10" 7720000 8430000 71 -0.608
"18" "testSample" "chr10" 8440000 8640000 18 0.1218
"19" "testSample" "chr10" 8650000 9030000 37 -0.5851
"20" "testSample" "chr10" 9040000 9140000 11 -1.2975
"21" "testSample" "chr10" 9150000 9270000 12 -0.3397
"22" "testSample" "chr10" 9280000 9340000 6 0.4758
"23" "testSample" "chr10" 9350000 10200000 76 -0.4434
"24" "testSample" "chr10" 10210000 10430000 17 -0.0596
"25" "testSample" "chr10" 10440000 13130000 228 -0.4868
"26" "testSample" "chr10" 13140000 13280000 14 0.0922
"27" "testSample" "chr10" 13290000 15570000 172 -0.3999
"28" "testSample" "chr10" 15580000 15690000 3 1.0397
"29" "testSample" "chr10" 1.6e+07 18130000 200 -0.433
"30" "testSample" "chr10_random" 0 750000 71 -0.4227
"31" "testSample" "chr11" 0 1220000 120 -0.6127
"32" "testSample" "chr11" 1230000 1320000 10 -1.1272
"33" "testSample" "chr11" 1330000 7080000 567 -0.6003
"34" "testSample" "chr11" 7090000 7350000 24 0.1309
"35" "testSample" "chr11" 7360000 11070000 326 -0.4316
"36" "testSample" "chr11" 11080000 12240000 65 -0.077
"37" "testSample" "chr11" 12250000 19810000 672 -0.4618
"38" "testSample" "chr11_random" 0 270000 24 -0.5205
"39" "testSample" "chr12" 10000 4970000 484 -0.5191
"40" "testSample" "chr12" 4980000 5060000 8 0.4062
"41" "testSample" "chr12" 5070000 8550000 323 -0.4987
"42" "testSample" "chr12" 8560000 8670000 12 -1.8297
"43" "testSample" "chr12" 8680000 12210000 224 -0.4737
"44" "testSample" "chr12" 12240000 12290000 6 -1.6957
"45" "testSample" "chr12" 12300000 15710000 300 -0.3878
"46" "testSample" "chr12" 15720000 16440000 32 0.1261
"47" "testSample" "chr12" 16450000 17750000 119 -0.3866
"48" "testSample" "chr12" 17760000 17790000 4 -1.1795
"49" "testSample" "chr12" 17800000 18290000 47 -0.4395
