"output.ID" "output.chrom" "output.loc.start" "output.loc.end" "output.num.mark" "output.seg.mean"
"1" "testSample" "chr1" 10000 11030000 1079 -0.5431
"2" "testSample" "chr1" 11040000 11130000 7 0.5875
"3" "testSample" "chr1" 11140000 21510000 827 -0.4073
"4" "testSample" "chr1" 21520000 21570000 6 0.5419
"5" "testSample" "chr1" 21580000 23020000 138 -0.504
"6" "testSample" "chr10" 0 5970000 575 -0.5192
"7" "testSample" "chr10" 5980000 6170000 15 0.3434
"8" "testSample" "chr10" 6180000 9030000 269 -0.4652
"9" "testSample" "chr10" 9040000 9140000 11 -1.2975
"10" "testSample" "chr10" 9150000 9270000 12 -0.3397
"11" "testSample" "chr10" 9280000 9340000 6 0.4758
"12" "testSample" "chr10" 9350000 15570000 507 -0.4205
"13" "testSample" "chr10" 15580000 15690000 3 1.0397
"14" "testSample" "chr10" 1.6e+07 18130000 200 -0.433
"15" "testSample" "chr10_random" 0 750000 71 -0.4227
"16" "testSample" "chr11" 0 19810000 1784 -0.4922
"17" "testSample" "chr11_random" 0 270000 24 -0.5205
"18" "testSample" "chr12" 10000 4970000 484 -0.5191
"19" "testSample" "chr12" 4980000 5060000 8 0.4062
"20" "testSample" "chr12" 5070000 8550000 323 -0.4987
"21" "testSample" "chr12" 8560000 8670000 12 -1.8297
"22" "testSample" "chr12" 8680000 12210000 224 -0.4737
"23" "testSample" "chr12" 12240000 12290000 6 -1.6957
"24" "testSample" "chr12" 12300000 18690000 538 -0.3712
"25" "testSample" "chr12" 18700000 18770000 6 0.3725
"26" "testSample" "chr12" 18780000 22690000 352 -0.4429
"27" "testSample" "chr12_random" 0 1290000 120 -0.4117
"28" "testSample" "chr12_random" 1310000 1470000 9 0.3079
"29" "testSample" "chr13" 0 20170000 1783 -0.4933
"30" "testSample" "chr13" 20190000 20310000 10 1.1082
"31" "testSample" "chr13" 20320000 24390000 385 -0.3085
"32" "testSample" "chr13_random" 0 3260000 291 -0.3522
"33" "testSample" "chr14" 0 3620000 331 -0.3672
"34" "testSample" "chr14" 3630000 3890000 22 0.7303
"35" "testSample" "chr14" 3910000 5090000 109 -0.281
"36" "testSample" "chr14" 5100000 5210000 11 0.4693
"37" "testSample" "chr14" 5220000 5310000 9 -0.3737
"38" "testSample" "chr14" 5320000 5350000 4 0.6659
"39" "testSample" "chr14" 5360000 7010000 155 -0.3338
"40" "testSample" "chr14" 7020000 7070000 5 1.102
"41" "testSample" "chr14" 7100000 18620000 922 -0.2693
"42" "testSample" "chr14" 18630000 18720000 7 0.7349
"43" "testSample" "chr14" 18760000 30260000 1110 -0.3722
"44" "testSample" "chr15" 0 1400000 118 -0.4612
"45" "testSample" "chr15" 1410000 1460000 6 0.8604
"46" "testSample" "chr15" 1470000 4550000 267 -0.1792
"47" "testSample" "chr15" 4560000 4700000 12 -1.1763
"48" "testSample" "chr15" 4710000 5590000 60 -0.3027
"49" "testSample" "chr15" 5600000 5670000 6 0.5601
